Date (YYYY-MM-DD),Carrier Code,Flight Number,Tail Number,Destination Airport,Departure delay (Minutes)
2021-01-03,DL,464,N309US,ATL,41
2021-01-03,DL,476,N393DN,ATL,-6
2021-01-03,DL,777,N3756,SLC,-1
2021-01-03,DL,1043,N321US,MSP,82
2021-01-03,DL,1108,N351NB,MSP,-4
2021-01-03,DL,1559,N925AT,DTW,-3
2021-01-03,DL,2006,N363NB,DTW,-7
2021-01-03,DL,2022,N316NB,MSP,-12
2021-01-03,DL,2226,N364NW,ATL,39
2022-01-03,DL,306,N309DN,ATL,0
2022-01-03,DL,307,N377NW,ATL,0
2022-01-03,DL,342,N722TW,LAX,0
2022-01-03,DL,361,N386DN,ATL,0
2022-01-03,DL,395,N339DN,ATL,0
2022-01-03,DL,418,N387DN,ATL,0
2022-01-03,DL,457,N340NW,ATL,0
2022-01-03,DL,464,N396DN,ATL,0
2022-01-03,DL,528,N366NW,ATL,0
2022-01-03,DL,538,N351NW,ATL,0
2022-01-03,DL,539,N376DN,ATL,0
2022-01-03,DL,760,N694DL,SLC,0
2022-01-03,DL,1343,N343NW,MSP,0
2022-01-03,DL,1465,N369NB,MSP,0
2022-01-03,DL,1530,N330DX,DTW,0
2022-01-03,DL,1570,N330NB,DTW,0
2022-01-03,DL,1637,N120DU,DTW,0
2022-01-03,DL,1740,N354NW,MSP,0
2022-01-03,DL,2244,N369NW,MSP,0
2022-01-03,DL,2675,N306DN,MSP,0
2022-01-03,DL,2885,N331NW,DTW,0
2022-01-03,DL,2995,N368NB,DTW,0
2023-01-03,DL,306,N361NW,ATL,18
2023-01-03,DL,342,N706TW,LAX,0
2023-01-03,DL,418,N335NW,ATL,38
2023-01-03,DL,457,N361NW,ATL,-3
2023-01-03,DL,464,N362DN,ATL,11
2023-01-03,DL,472,N511DE,SLC,1
2023-01-03,DL,528,N366NW,ATL,6
2023-01-03,DL,560,N350NA,ATL,0
2023-01-03,DL,910,N345NW,ATL,44
2023-01-03,DL,1522,N336NW,ATL,-4
2023-01-03,DL,1740,N370NW,MSP,3
2023-01-03,DL,2093,N329NB,MSP,53
2023-01-03,DL,2206,N334NW,ATL,35
2023-01-03,DL,2244,N317NB,MSP,34
2023-01-03,DL,2623,N314NB,DTW,-8
2023-01-03,DL,2675,N333NB,MSP,-3
2023-01-03,DL,2875,N324NB,DTW,-7
2023-01-03,DL,2885,N342NW,DTW,-7
2023-01-03,DL,2995,N324NB,DTW,-5
2024-01-03,DL,380,N370NW,ATL,-2
2024-01-03,DL,392,N703TW,LAX,-6
2024-01-03,DL,410,N353NW,ATL,-7
2024-01-03,DL,455,N335NW,ATL,227
2024-01-03,DL,467,N333NB,MSP,-4
2024-01-03,DL,553,N506DA,SLC,-4
2024-01-03,DL,654,N319US,ATL,73
2024-01-03,DL,759,N323US,ATL,-1
2024-01-03,DL,832,N339NW,ATL,45
2024-01-03,DL,850,N129DN,ATL,-1
2024-01-03,DL,959,N373NW,ATL,-2
2024-01-03,DL,1165,N333NB,MSP,3
2024-01-03,DL,1435,N325NB,DTW,-8
2024-01-03,DL,1608,N317US,ATL,-6
2024-01-03,DL,2280,N357NB,MSP,-9
2024-01-03,DL,2476,N325NB,DTW,-2
2024-01-03,DL,2576,N352NW,MIA,-8
2024-01-03,DL,2698,N365NB,MSP,-12
2024-01-03,DL,2953,N349NW,MCO,14
2020-01-04,DL,474,N374NW,ATL,1
2020-01-04,DL,832,N550NW,SLC,-3
2020-01-04,DL,839,N368NW,ATL,-6
2020-01-04,DL,1144,N951AT,DTW,-6
2020-01-04,DL,1368,N328NB,MSP,-4
2020-01-04,DL,1421,N982AT,DTW,-7
2020-01-04,DL,1464,N925AT,MSP,-3
2020-01-04,DL,1631,N703TW,LAX,-5
2020-01-04,DL,1654,N387DN,ATL,1
2020-01-04,DL,1764,N980AT,MSP,-4
2020-01-04,DL,1960,N347NB,DTW,-8
2020-01-04,DL,2086,N342NB,JFK,-6
2020-01-04,DL,2238,N320US,ATL,-8
2020-01-04,DL,2594,N328DN,ATL,-8
2020-01-04,DL,2595,N344NW,ATL,25
2020-01-04,DL,2602,N346DN,ATL,-2
2020-01-04,DL,2668,N955AT,JFK,14
2020-01-04,DL,2799,N324DX,ATL,-2
2020-01-04,DL,2945,N966AT,DTW,-5
2021-01-04,DL,317,N548US,LAX,1
2021-01-04,DL,416,N377DN,ATL,-8
2021-01-04,DL,432,N354NW,ATL,-1
2021-01-04,DL,440,N397DN,ATL,-5
2021-01-04,DL,457,N334NW,ATL,-2
2021-01-04,DL,464,N377NW,ATL,-6
2021-01-04,DL,476,N360DN,ATL,-6
2021-01-04,DL,777,N3765,SLC,14
2021-01-04,DL,1043,N353NW,MSP,-5
2021-01-04,DL,1108,N315NB,MSP,-4
2021-01-04,DL,1559,N980AT,DTW,-6
2021-01-04,DL,2006,N326NB,DTW,-5
2021-01-04,DL,2022,N351NB,MSP,-4
2021-01-04,DL,2226,N354NW,ATL,24
2021-01-04,DL,2276,N980AT,DTW,-7
2022-01-04,DL,306,N114DN,ATL,58
2022-01-04,DL,307,N309US,ATL,71
2022-01-04,DL,342,N707TW,LAX,7
2022-01-04,DL,361,N364DX,ATL,114
2022-01-04,DL,395,N331DN,ATL,40
2022-01-04,DL,418,N373DX,ATL,16
2022-01-04,DL,457,N340NW,ATL,36
2022-01-04,DL,464,N354DN,ATL,38
2022-01-04,DL,528,N354NW,ATL,261
2022-01-04,DL,538,N355NW,ATL,85
2022-01-04,DL,539,N127DN,ATL,32
2022-01-04,DL,760,N6712B,SLC,79
2022-01-04,DL,1343,N334NW,MSP,41
2022-01-04,DL,1465,N322NB,MSP,7
2022-01-04,DL,1530,N347DN,DTW,92
2022-01-04,DL,1570,N321NB,DTW,13
2022-01-04,DL,1637,N134DU,DTW,141
2022-01-04,DL,1740,N350NA,MSP,10
2022-01-04,DL,2244,N335NW,MSP,136
2022-01-04,DL,2675,N107DN,MSP,111
2022-01-04,DL,2885,N312US,DTW,13
2022-01-04,DL,2995,N326NB,DTW,43
2023-01-04,DL,306,N372NW,ATL,10
2023-01-04,DL,342,N723TW,LAX,23
2023-01-04,DL,418,N363NW,ATL,36
2023-01-04,DL,457,N345NW,ATL,37
2023-01-04,DL,464,N371DN,ATL,166
2023-01-04,DL,472,N511DE,SLC,0
2023-01-04,DL,528,N371NW,ATL,132
2023-01-04,DL,560,N334NW,ATL,299
2023-01-04,DL,910,N356NW,ATL,0
2023-01-04,DL,1522,N335NW,ATL,18
2023-01-04,DL,1740,N348NW,MSP,0
2023-01-04,DL,2093,N302NB,MSP,0
2023-01-04,DL,2206,N356NW,ATL,-4
2023-01-04,DL,2244,N370NW,MSP,21
2023-01-04,DL,2623,N316NB,DTW,-3
2023-01-04,DL,2675,N349NB,MSP,0
2023-01-04,DL,2875,N348NB,DTW,-10
2023-01-04,DL,2885,N364NW,DTW,-8
2023-01-04,DL,2995,N371NB,DTW,5
2024-01-04,DL,380,N335NW,ATL,11
2024-01-04,DL,392,N707TW,LAX,-2
2024-01-04,DL,410,N325US,ATL,0
2024-01-04,DL,455,N340NW,ATL,386
2024-01-04,DL,467,N321NB,MSP,-10
2024-01-04,DL,553,N524DE,SLC,9
2024-01-04,DL,654,N324US,ATL,2
2024-01-04,DL,759,N349NW,ATL,-1
2024-01-04,DL,832,N353NW,ATL,-4
2024-01-04,DL,850,N115DN,ATL,-8
2024-01-04,DL,959,N323US,ATL,-7
2024-01-04,DL,1165,N321NB,MSP,-8
2024-01-04,DL,1435,N315NB,DTW,-12
2024-01-04,DL,1608,N337NW,ATL,-3
2024-01-04,DL,2280,N358NB,MSP,-14
2024-01-04,DL,2476,N315NB,DTW,0
2024-01-04,DL,2576,N374NW,MIA,-5
2024-01-04,DL,2698,N358NB,MSP,-12
2024-01-04,DL,2953,N319US,MCO,-7
2020-01-05,DL,474,N374DX,ATL,-5
2020-01-05,DL,832,N673DL,SLC,1
2020-01-05,DL,839,N350NA,ATL,-3
2020-01-05,DL,1139,N343DN,ATL,3
2020-01-05,DL,1144,N970AT,DTW,-8
2020-01-05,DL,1368,N717JL,MSP,-4
2020-01-05,DL,1421,N951AT,DTW,-7
2020-01-05,DL,1464,N933AT,MSP,-3
2020-01-05,DL,1515,N368NB,MSP,-9
2020-01-05,DL,1589,N336NW,MSP,-5
2020-01-05,DL,1631,N711ZX,LAX,-2
2020-01-05,DL,1654,N366DX,ATL,0
2020-01-05,DL,1764,N603AT,MSP,-5
2020-01-05,DL,1960,N375NC,DTW,2
2020-01-05,DL,2086,N362NB,JFK,-4
2020-01-05,DL,2238,N340NW,ATL,0
2020-01-05,DL,2594,N394DX,ATL,-2
2020-01-05,DL,2595,N372NW,ATL,-6
2020-01-05,DL,2602,N342DN,ATL,10
2020-01-05,DL,2638,N333NW,ATL,-1
2020-01-05,DL,2799,N387DN,ATL,0
2020-01-05,DL,2811,N323US,ATL,-8
2020-01-05,DL,2945,N942AT,DTW,-7
2021-01-05,DL,317,N540US,LAX,0
2021-01-05,DL,416,N344NW,ATL,-7
2021-01-05,DL,432,N305DN,ATL,-6
2021-01-05,DL,440,N337DN,ATL,-12
2021-01-05,DL,457,N368DN,ATL,-5
2021-01-05,DL,464,N361DN,ATL,-6
2021-01-05,DL,777,N394DA,SLC,-2
2021-01-05,DL,1559,N384DN,DTW,-5
2021-01-05,DL,2006,N330NB,DTW,-7
2021-01-05,DL,2226,N367NW,ATL,-7
2021-01-05,DL,2276,N347DN,DTW,16
2022-01-05,DL,306,N343DN,ATL,-2
2022-01-05,DL,307,N320NB,ATL,60
2022-01-05,DL,342,N710TW,LAX,118
2022-01-05,DL,361,N375DN,ATL,0
2022-01-05,DL,395,N352NW,ATL,-2
2022-01-05,DL,418,N308DN,ATL,0
2022-01-05,DL,457,N319US,ATL,8
2022-01-05,DL,459,N361NB,ATL,24
2022-01-05,DL,464,N353NW,ATL,18
2022-01-05,DL,528,N334NW,ATL,-7
2022-01-05,DL,538,N102DN,ATL,19
2022-01-05,DL,760,N6712B,SLC,15
2022-01-05,DL,1343,N335NB,MSP,18
2022-01-05,DL,1530,N321NB,DTW,-4
2022-01-05,DL,1637,N107DU,DTW,-7
2022-01-05,DL,1740,N339NB,MSP,43
2022-01-05,DL,2244,N348DN,MSP,50
2022-01-05,DL,2289,N315NB,MSP,5
2022-01-05,DL,2623,N111NG,DTW,6
2022-01-05,DL,2660,N333DX,ATL,14
2022-01-05,DL,2675,N369NW,MSP,-4
2022-01-05,DL,2885,N340NW,DTW,-5
2022-01-05,DL,2995,N110DX,DTW,-6
2023-01-05,DL,306,N327NW,ATL,0
2023-01-05,DL,342,N712TW,LAX,-3
2023-01-05,DL,418,N336NW,ATL,-3
2023-01-05,DL,457,N378NW,ATL,-8
2023-01-05,DL,464,N354DN,ATL,32
2023-01-05,DL,472,N511DE,SLC,-2
2023-01-05,DL,528,N328NW,ATL,-8
2023-01-05,DL,560,N348NW,ATL,169
2023-01-05,DL,910,N375NC,ATL,582
2023-01-05,DL,1522,N361NW,ATL,-2
2023-01-05,DL,1740,N337NW,MSP,-1
2023-01-05,DL,2093,N352NB,MSP,66
2023-01-05,DL,2206,N327NW,ATL,1
2023-01-05,DL,2244,N332NW,MSP,-10
2023-01-05,DL,2623,N360NB,DTW,39
2023-01-05,DL,2675,N349NB,MSP,-1
2023-01-05,DL,2875,N348NB,DTW,-4
2023-01-05,DL,2885,N312US,DTW,-5
2023-01-05,DL,2995,N371NB,DTW,65
2024-01-05,DL,380,N333NW,ATL,-2
2024-01-05,DL,392,N705TW,LAX,126
2024-01-05,DL,410,N327NW,ATL,-2
2024-01-05,DL,455,N339NW,ATL,-1
2024-01-05,DL,467,N338NB,MSP,-6
2024-01-05,DL,553,N511DE,SLC,-7
2024-01-05,DL,654,N368NW,ATL,-8
2024-01-05,DL,759,N319US,ATL,-6
2024-01-05,DL,850,N112DN,ATL,25
2024-01-05,DL,918,N369NW,ATL,-8
2024-01-05,DL,959,N357NW,ATL,-1
2024-01-05,DL,1165,N338NB,MSP,-2
2024-01-05,DL,1435,N316NB,DTW,-7
2024-01-05,DL,1608,N340NW,ATL,-4
2024-01-05,DL,2280,N368NB,MSP,-7
2024-01-05,DL,2476,N323NB,DTW,-5
2024-01-05,DL,2576,N328NW,MIA,-4
2024-01-05,DL,2698,N368NB,MSP,-11
2024-01-05,DL,2953,N349NW,MCO,-8
2020-01-06,DL,431,N374NW,DTW,-31
2020-01-06,DL,832,N6709,SLC,-6
2020-01-06,DL,839,N368NW,ATL,-7
2020-01-06,DL,952,N377DN,MSP,-15
2020-01-06,DL,1139,N376DN,ATL,-3
2020-01-06,DL,1167,N309DN,DTW,-6
2020-01-06,DL,1376,N343NB,MSP,-14
2020-01-06,DL,1421,N313DN,DTW,-7
2020-01-06,DL,1464,N346NB,MSP,20
2020-01-06,DL,1515,N301DV,MSP,-8
2020-01-06,DL,1631,N702TW,LAX,-3
2020-01-06,DL,1764,N342NB,MSP,-7
2020-01-06,DL,1790,N981AT,DTW,16
2020-01-06,DL,1960,N328NW,DTW,-11
2020-01-06,DL,1963,N379DN,ATL,-6
2020-01-06,DL,2086,N987DN,JFK,-6
2020-01-06,DL,2238,N350DN,ATL,-3
2020-01-06,DL,2267,N326NB,DTW,4
2020-01-06,DL,2349,N310DN,ATL,-2
2020-01-06,DL,2409,N348DN,MSP,-9
2020-01-06,DL,2594,N365DN,ATL,-8
2020-01-06,DL,2595,N338NW,ATL,-3
2020-01-06,DL,2602,N351DN,ATL,-5
2020-01-06,DL,2638,N312DN,ATL,-3
2020-01-06,DL,2799,N325DN,ATL,14
2020-01-06,DL,2811,N339DN,ATL,-5
2020-01-06,DL,2909,N382DN,ATL,0
2020-01-06,DL,2945,N330NW,DTW,-10
2021-01-06,DL,317,N535US,LAX,-7
2021-01-06,DL,416,N344DN,ATL,-9
2021-01-06,DL,432,N353DN,ATL,-6
2021-01-06,DL,440,N338NW,ATL,-7
2021-01-06,DL,457,N386DN,ATL,-8
2021-01-06,DL,464,N337DN,ATL,-6
2021-01-06,DL,777,N394DA,SLC,-2
2021-01-06,DL,1559,N365NB,DTW,-9
2021-01-06,DL,2006,N365NB,DTW,-1
2021-01-06,DL,2226,N352NW,ATL,-5
2021-01-06,DL,2276,N323NB,DTW,-5
2022-01-06,DL,306,N391DN,ATL,-5
2022-01-06,DL,307,N387DN,ATL,-5
2022-01-06,DL,342,N717TW,LAX,-2
2022-01-06,DL,361,N360DN,ATL,-36
2022-01-06,DL,395,N317US,ATL,0
2022-01-06,DL,418,N334DN,ATL,0
2022-01-06,DL,457,N373NW,ATL,1
2022-01-06,DL,459,N317DN,ATL,-5
2022-01-06,DL,464,N358NW,ATL,4
2022-01-06,DL,528,N377NW,ATL,9
2022-01-06,DL,538,N316NB,ATL,-8
2022-01-06,DL,760,N6705Y,SLC,3
2022-01-06,DL,1343,N335NB,MSP,24
2022-01-06,DL,1530,N355NB,DTW,-7
2022-01-06,DL,1637,N312US,DTW,63
2022-01-06,DL,1740,N374NW,MSP,-5
2022-01-06,DL,2244,N110DX,MSP,-3
2022-01-06,DL,2289,N322NB,MSP,-7
2022-01-06,DL,2623,N105DU,DTW,-4
2022-01-06,DL,2660,N344DN,ATL,1
2022-01-06,DL,2675,N364NB,MSP,2
2022-01-06,DL,2885,N124DU,DTW,-6
2022-01-06,DL,2995,N390DN,DTW,-3
2023-01-06,DL,306,N363NW,ATL,4
2023-01-06,DL,342,N702TW,LAX,-3
2023-01-06,DL,418,N335NW,ATL,-1
2023-01-06,DL,457,N323US,ATL,-9
2023-01-06,DL,464,N330DX,ATL,9
2023-01-06,DL,472,N502DX,SLC,1
2023-01-06,DL,528,N338NW,ATL,2
2023-01-06,DL,560,N335NW,ATL,1
2023-01-06,DL,910,N327NW,ATL,-10
2023-01-06,DL,1522,N336NW,ATL,8
2023-01-06,DL,1740,N378NW,MSP,-8
2023-01-06,DL,2093,N341NB,MSP,45
2023-01-06,DL,2206,N363NW,ATL,-5
2023-01-06,DL,2244,N332NW,MSP,-5
2023-01-06,DL,2623,N339NB,DTW,-5
2023-01-06,DL,2675,N315NB,MSP,20
2023-01-06,DL,2875,N348NB,DTW,-10
2023-01-06,DL,2885,N373NW,DTW,-5
2023-01-06,DL,2995,N339NB,DTW,-1
2024-01-06,DL,380,N335NW,ATL,-5
2024-01-06,DL,392,N705TW,LAX,1
2024-01-06,DL,410,N319US,ATL,8
2024-01-06,DL,455,N320US,ATL,-4
2024-01-06,DL,467,N343NB,MSP,10
2024-01-06,DL,553,N503DZ,SLC,44
2024-01-06,DL,654,N321US,ATL,0
2024-01-06,DL,759,N349NW,ATL,-1
2024-01-06,DL,832,N370NW,ATL,-11
2024-01-06,DL,850,N103DY,ATL,-4
2024-01-06,DL,959,N323US,ATL,-4
2024-01-06,DL,1165,N343NB,MSP,-5
2024-01-06,DL,1435,N357NB,DTW,-2
2024-01-06,DL,1608,N360NB,ATL,40
2024-01-06,DL,2280,N368NB,MSP,-5
2024-01-06,DL,2476,N357NB,DTW,31
2024-01-06,DL,2576,N353NW,MIA,13
2024-01-06,DL,2698,N338NB,MSP,-14
2024-01-06,DL,2953,N331NW,MCO,-2
2020-01-07,DL,431,N376NW,DTW,-12
2020-01-07,DL,832,N6701,SLC,7
2020-01-07,DL,839,N352NW,ATL,-7
2020-01-07,DL,952,N387DN,MSP,-12
2020-01-07,DL,1139,N330DX,ATL,20
2020-01-07,DL,1167,N322DN,DTW,32
2020-01-07,DL,1376,N346NB,MSP,-5
2020-01-07,DL,1421,N368DN,DTW,-6
2020-01-07,DL,1464,N342NB,MSP,-15
2020-01-07,DL,1515,N312DN,MSP,-2
2020-01-07,DL,1631,N703TW,LAX,0
2020-01-07,DL,1764,N341NB,MSP,-11
2020-01-07,DL,1790,N966AT,DTW,-8
2020-01-07,DL,1960,N317US,DTW,-11
2020-01-07,DL,1963,N306DN,ATL,-5
2020-01-07,DL,2086,N891AT,JFK,-7
2020-01-07,DL,2238,N325DN,ATL,5
2020-01-07,DL,2267,N325NB,DTW,-7
2020-01-07,DL,2349,N321DH,ATL,-4
2020-01-07,DL,2409,N343DN,MSP,-3
